Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
1   , "1                                                               ", 29/09/2003, A    , A    , A    , A    , A    , A    , A    , A    , A    , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A
2   , "2                                                               ", 06/10/2003, A    , A    , A    , A    , A    , A    , A    , A    , A    , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A
3   , "3                                                               ", 13/10/2003, R    , A    , A    , R    , A    , R    , R    , N    , R    , N     , R     , R     , A     , N     , A     , R     , N     , A     , A     , R     , A     , A     , R     , R     , A
4   , "4                                                               ", 20/10/2003, R    , N    , A    , R    , N    , A    , A    , R    , A    , R     , A     , R     , N     , A     , A     , R     , R     , N     , N     , A     , A     , A     , R     , R     , N
5   , "5                                                               ", 27/10/2003, R    , R    , A    , R    , A    , A    , A    , R    , N    , A     , N     , R     , R     , A     , N     , R     , A     , A     , R     , N     , A     , A     , R     , R     , R
6   , "6                                                               ", 03/11/2003, R    , R    , A    , R    , N    , N    , N    , A    , A    , N     , A     , R     , A     , A     , R     , R     , N     , A     , R     , A     , N     , A     , R     , A     , R
7   , "7                                                               ", 10/11/2003, R    , A    , A    , R    , A    , A    , R    , N    , A    , R     , A     , R     , A     , N     , R     , R     , A     , N     , R     , A     , R     , N     , R     , A     , R
8   , "8                                                               ", 17/11/2003, R    , A    , A    , A    , N    , N    , A    , R    , N    , R     , A     , A     , N     , A     , R     , R     , N     , R     , R     , N     , A     , R     , A     , A     , R
9   , "9                                                               ", 24/11/2003, A    , A    , N    , N    , R    , A    , A    , A    , R    , R     , N     , A     , R     , A     , R     , R     , R     , A     , R     , R     , N     , A     , A     , N     , R
10  , "10                                                              ", 01/12/2003, A    , N    , R    , R    , R    , N    , A    , N    , R    , R     , R     , N     , A     , N     , A     , A     , A     , A     , R     , R     , A     , A     , N     , R     , A
11  , "11                                                              ", 08/12/2003, A    , R    , A    , A    , A    , R    , N    , R    , R    , R     , R     , R     , A     , A     , A     , N     , A     , A     , R     , R     , A     , N     , R     , R     , N
12  , "12                                                              ", 15/12/2003, N    , R    , A    , N    , N    , A    , R    , R    , R    , R     , R     , R     , A     , N     , A     , R     , N     , A     , A     , A     , A     , A     , A     , R     , R
13  , "13                                                              ", 22/12/2003, A    , A    , N    , A    , R    , N    , R    , R    , R    , R     , R     , A     , N     , R     , N     , R     , R     , A     , N     , A     , A     , A     , N     , A     , A
14  , "14                                                              ", 29/12/2003, N    , N    , A    , A    , R    , R    , R    , A    , R    , A     , A     , A     , R     , R     , R     , A     , A     , N     , R     , N     , N     , A     , R     , A     , N
15  , "15                                                              ", 05/01/2004, R    , R    , A    , N    , A    , R    , A    , N    , A    , N     , A     , N     , A     , A     , R     , N     , A     , R     , R     , A     , R     , A     , R     , N     , R
16  , "16                                                              ", 12/01/2004, A    , R    , A    , A    , N    , R    , N    , R    , A    , R     , A     , R     , N     , A     , R     , A     , N     , A     , R     , A     , R     , A     , R     , R     , R
17  , "17                                                              ", 19/01/2004, N    , R    , N    , A    , R    , R    , R    , A    , N    , A     , A     , A     , R     , N     , A     , N     , R     , N     , R     , N     , R     , A     , A     , A     , A
18  , "18                                                              ", 26/01/2004, A    , R    , A    , A    , A    , R    , R    , N    , A    , N     , N     , A     , A     , R     , N     , A     , R     , R     , R     , R     , A     , N     , N     , N     , A
19  , "19                                                              ", 02/02/2004, A    , R    , A    , A    , N    , R    , R    , R    , A    , R     , R     , A     , N     , R     , R     , N     , R     , A     , A     , R     , A     , A     , R     , R     , A
20  , "20                                                              ", 09/02/2004, A    , A    , N    , N    , A    , R    , R    , R    , N    , R     , A     , A     , A     , R     , A     , R     , R     , N     , N     , R     , A     , A     , R     , R     , A
21  , "21                                                              ", 16/02/2004, N    , N    , A    , R    , N    , A    , A    , R    , A    , A     , N     , A     , A     , R     , A     , R     , A     , R     , R     , R     , A     , N     , R     , R     , N
22  , "22                                                              ", 25/02/2004, R    , R    , N    , R    , R    , N    , N    , A    , N    , N     , A     , N     , N     , R     , N     , A     , A     , A     , A     , A     , A     , R     , A     , A     , R
23  , "23                                                              ", 01/03/2004, R    , A    , R    , R    , R    , R    , A    , N    , A    , R     , N     , R     , A     , R     , A     , N     , N     , N     , N     , N     , A     , A     , A     , A     , A
24  , "24                                                              ", 08/03/2004, R    , N    , R    , A    , R    , A    , N    , A    , A    , R     , R     , A     , A     , R     , A     , A     , R     , A     , R     , R     , N     , A     , N     , N     , N
25  , "25                                                              ", 15/03/2004, R    , R    , R    , N    , R    , N    , R    , A    , N    , A     , A     , A     , N     , R     , A     , N     , A     , A     , A     , R     , A     , N     , R     , R     , A
26  , "27                                                              ", 29/03/2004, A    , A    , R    , A    , A    , R    , A    , N    , A    , N     , N     , N     , R     , R     , N     , A     , A     , N     , A     , R     , N     , R     , A     , R     , N
27  , "28                                                              ", 05/04/2004, N    , A    , R    , A    , A    , A    , N    , A    , N    , R     , R     , R     , R     , R     , A     , N     , N     , R     , N     , R     , R     , A     , A     , A     , A
28  , "29                                                              ", 12/04/2004, R    , A    , A    , N    , N    , N    , A    , N    , R    , A     , A     , A     , R     , R     , A     , R     , R     , A     , R     , R     , R     , N     , A     , N     , A
29  , "30                                                              ", 19/04/2004, R    , N    , N    , R    , A    , R    , N    , R    , A    , A     , N     , A     , A     , R     , A     , A     , R     , A     , R     , R     , R     , R     , N     , A     , A
30  , "31                                                              ", 26/04/2004, R    , R    , R    , R    , A    , A    , A    , A    , N    , A     , A     , A     , N     , R     , N     , A     , R     , A     , R     , R     , R     , R     , A     , N     , N
31  , "32                                                              ", 03/05/2004, R    , R    , A    , R    , A    , N    , N    , A    , R    , N     , N     , A     , A     , R     , R     , N     , R     , A     , A     , R     , A     , R     , N     , A     , A
32  , "33                                                              ", 10/05/2004, R    , R    , A    , A    , N    , A    , R    , N    , A    , R     , R     , N     , A     , R     , A     , R     , A     , A     , N     , R     , N     , A     , R     , N     , A
33  , "34                                                              ", 17/05/2004, R    , R    , A    , N    , A    , A    , R    , R    , N    , R     , R     , A     , A     , A     , N     , R     , A     , N     , R     , R     , R     , A     , R     , A     , A
34  , "35                                                              ", 24/05/2004, R    , A    , A    , R    , N    , N    , A    , A    , A    , A     , R     , N     , N     , N     , A     , R     , N     , A     , R     , A     , R     , N     , R     , A     , N
35  , "36                                                              ", 31/05/2004, R    , A    , A    , R    , R    , A    , N    , N    , A    , N     , R     , A     , A     , R     , A     , A     , R     , A     , R     , N     , R     , R     , R     , N     , A
36  , "37                                                              ", 07/06/2004, R    , A    , N    , R    , R    , A    , A    , R    , N    , R     , R     , A     , N     , A     , N     , A     , A     , A     , A     , R     , R     , R     , R     , R     , A
37  , "38                                                              ", 14/06/2004, R    , N    , R    , A    , A    , N    , N    , R    , R    , R     , A     , A     , R     , N     , R     , N     , A     , A     , A     , A     , A     , R     , A     , R     , N
38  , "39                                                              ", 21/06/2004, A    , R    , A    , A    , A    , A    , R    , R    , R    , A     , N     , A     , R     , R     , R     , A     , N     , N     , N     , A     , N     , R     , N     , R     , A
39  , "40                                                              ", 28/06/2004, N    , R    , A    , A    , N    , A    , R    , R    , A    , N     , A     , N     , R     , R     , A     , N     , R     , A     , A     , N     , R     , R     , A     , R     , A
40  , "41                                                              ", 05/07/2004, A    , R    , N    , N    , A    , A    , A    , A    , N    , A     , A     , R     , R     , A     , N     , R     , R     , N     , N     , R     , R     , A     , N     , A     , N
41  , "42                                                              ", 12/07/2004, N    , A    , R    , R    , N    , N    , A    , N    , A    , A     , N     , R     , A     , N     , R     , A     , R     , A     , A     , A     , R     , N     , A     , N     , R
42  , "43                                                              ", 19/07/2004, R    , A    , R    , A    , A    , R    , N    , R    , N    , N     , A     , A     , A     , R     , A     , A     , R     , N     , N     , N     , A     , R     , N     , R     , A
43  , "44                                                              ", 26/07/2004, A    , A    , R    , N    , N    , R    , A    , A    , A    , R     , N     , N     , N     , R     , A     , A     , A     , R     , R     , A     , N     , A     , R     , R     , N
44  , "45                                                              ", 02/08/2004, N    , N    , R    , A    , R    , A    , N    , A    , N    , A     , A     , A     , A     , R     , A     , N     , N     , R     , R     , A     , R     , A     , R     , R     , R
45  , "46                                                              ", 09/08/2004, R    , R    , A    , N    , R    , N    , A    , N    , A    , N     , N     , A     , A     , R     , A     , A     , A     , R     , R     , A     , R     , A     , R     , R     , R
46  , "47                                                              ", 16/08/2004, R    , R    , N    , R    , R    , R    , A    , R    , A    , R     , R     , A     , N     , A     , N     , A     , A     , R     , A     , N     , A     , N     , A     , A     , R
47  , "48                                                              ", 23/08/2004, A    , R    , A    , A    , R    , R    , N    , A    , A    , A     , R     , A     , R     , A     , R     , N     , N     , R     , N     , R     , N     , R     , N     , A     , A
48  , "49                                                              ", 30/08/2004, A    , R    , A    , N    , R    , R    , A    , N    , A    , A     , R     , A     , R     , A     , R     , R     , A     , A     , R     , R     , R     , R     , R     , N     , A
49  , "50                                                              ", 06/09/2004, N    , R    , N    , A    , A    , R    , N    , A    , N    , N     , R     , N     , R     , A     , A     , A     , A     , A     , R     , R     , R     , A     , R     , A     , N
50  , "51                                                              ", 13/09/2004, R    , A    , R    , A    , N    , R    , R    , N    , A    , A     , R     , A     , R     , N     , A     , N     , N     , A     , A     , R     , R     , N     , R     , A     , A
51  , "52                                                              ", 20/09/2004, R    , N    , A    , N    , A    , A    , A    , R    , N    , A     , R     , N     , R     , A     , N     , R     , A     , A     , A     , A     , R     , R     , R     , N     , N
52  , "53                                                              ", 27/09/2004, R    , R    , N    , A    , A    , N    , N    , A    , R    , A     , R     , R     , A     , N     , A     , A     , N     , N     , N     , N     , A     , A     , R     , R     , A
53  , "54                                                              ", 04/10/2004, A    , R    , A    , N    , N    , R    , R    , N    , R    , A     , A     , R     , A     , R     , A     , N     , A     , R     , A     , R     , N     , N     , A     , R     , A
54  , "55                                                              ", 11/10/2004, A    , R    , N    , R    , R    , R    , R    , R    , R    , A     , A     , R     , N     , A     , N     , R     , A     , R     , N     , A     , A     , A     , A     , A     , N
55  , "56                                                              ", 18/10/2004, N    , R    , A    , A    , R    , A    , A    , A    , R    , A     , A     , R     , R     , N     , R     , R     , N     , A     , R     , N     , A     , N     , N     , N     , A
56  , "57                                                              ", 25/10/2004, R    , R    , N    , N    , A    , N    , N    , N    , A    , A     , N     , R     , A     , A     , A     , A     , R     , A     , R     , R     , N     , R     , A     , A     , N
57  , "58                                                              ", 01/11/2004, A    , A    , R    , R    , N    , R    , A    , A    , A    , A     , R     , R     , N     , N     , N     , N     , R     , N     , R     , R     , A     , R     , A     , A     , A
58  , "59                                                              ", 08/11/2004, N    , A    , R    , A    , R    , R    , N    , N    , A    , N     , R     , A     , R     , R     , R     , A     , A     , A     , R     , R     , A     , A     , N     , A     , N
59  , "60                                                              ", 16/11/2004, R    , N    , R    , N    , R    , A    , A    , R    , A    , A     , R     , A     , A     , A     , A     , N     , N     , N     , R     , A     , A     , N     , R     , N     , R
60  , "61                                                              ", 22/11/2004, R    , A    , A    , R    , R    , A    , A    , A    , N    , A     , R     , N     , N     , N     , N     , R     , A     , A     , R     , N     , A     , R     , R     , A     , R
61  , "62                                                              ", 29/11/2004, R    , A    , N    , A    , A    , A    , N    , N    , R    , A     , R     , A     , R     , R     , R     , R     , N     , N     , A     , R     , A     , A     , A     , N     , R
62  , "63                                                              ", 06/12/2004, A    , A    , A    , N    , A    , A    , A    , R    , R    , N     , R     , N     , R     , A     , A     , R     , R     , A     , N     , R     , N     , N     , A     , R     , R
63  , "64                                                              ", 13/12/2004, N    , N    , N    , A    , A    , N    , N    , R    , R    , R     , A     , A     , R     , N     , A     , A     , R     , N     , A     , R     , A     , A     , N     , A     , R
64  , "65                                                              ", 20/12/2004, R    , R    , A    , N    , A    , A    , R    , A    , A    , R     , A     , A     , A     , A     , N     , N     , R     , R     , N     , R     , N     , N     , R     , A     , R
65  , "66                                                              ", 27/12/2004, R    , R    , A    , R    , A    , A    , A    , N    , A    , R     , N     , A     , A     , N     , R     , R     , R     , A     , A     , R     , R     , R     , R     , N     , A
66  , "67                                                              ", 03/01/2005, A    , A    , A    , A    , N    , A    , N    , R    , N    , R     , R     , N     , N     , A     , R     , R     , A     , A     , A     , R     , R     , R     , R     , R     , A
67  , "68                                                              ", 10/01/2005, N    , N    , N    , A    , R    , N    , R    , R    , R    , R     , A     , R     , A     , A     , A     , R     , N     , A     , A     , A     , A     , R     , R     , A     , N
68  , "69                                                              ", 17/01/2005, R    , A    , A    , N    , A    , A    , R    , R    , R    , R     , N     , A     , A     , A     , N     , A     , R     , N     , N     , N     , N     , A     , R     , N     , A
69  , "70                                                              ", 24/01/2005, R    , N    , N    , A    , N    , N    , A    , A    , R    , R     , A     , N     , A     , N     , R     , N     , A     , A     , R     , R     , A     , A     , A     , R     , N
70  , "71                                                              ", 31/01/2005, R    , A    , R    , A    , R    , R    , A    , N    , R    , A     , N     , A     , N     , R     , R     , R     , A     , N     , A     , A     , N     , N     , N     , A     , A
71  , "72                                                              ", 09/02/2005, R    , N    , A    , A    , R    , A    , N    , R    , A    , A     , R     , N     , R     , A     , R     , R     , N     , R     , A     , A     , A     , A     , R     , N     , N
72  , "73                                                              ", 14/02/2005, R    , R    , A    , A    , R    , A    , R    , A    , A    , N     , R     , A     , R     , N     , R     , R     , R     , R     , N     , A     , N     , A     , A     , A     , R
73  , "74                                                              ", 21/02/2005, R    , R    , N    , N    , R    , N    , A    , N    , A    , A     , R     , A     , R     , A     , R     , R     , A     , R     , A     , A     , A     , N     , N     , A     , R
74  , "75                                                              ", 28/02/2005, R    , A    , R    , R    , R    , R    , N    , R    , A    , N     , R     , A     , R     , A     , R     , R     , N     , A     , A     , N     , A     , A     , A     , A     , R
75  , "76                                                              ", 07/03/2005, R    , A    , R    , A    , R    , A    , A    , R    , N    , R     , A     , N     , R     , A     , R     , R     , R     , A     , N     , A     , N     , A     , N     , A     , R
76  , "77                                                              ", 14/03/2005, A    , N    , R    , N    , A    , N    , A    , R    , R    , A     , N     , A     , A     , N     , A     , A     , R     , N     , A     , N     , R     , N     , A     , N     , R
77  , "78                                                              ", 21/03/2005, N    , R    , R    , A    , N    , R    , N    , R    , A    , A     , A     , N     , N     , A     , N     , N     , R     , R     , A     , R     , A     , A     , N     , A     , A
78  , "79                                                              ", 28/03/2005, R    , R    , R    , A    , R    , A    , A    , A    , N    , A     , A     , R     , A     , N     , R     , A     , R     , R     , A     , R     , A     , N     , R     , N     , N
79  , "80                                                              ", 04/04/2005, R    , R    , R    , N    , R    , A    , N    , A    , R    , N     , A     , A     , A     , R     , R     , A     , R     , R     , A     , R     , A     , R     , A     , A     , R
80  , "81                                                              ", 11/04/2005, R    , R    , R    , R    , R    , N    , R    , A    , A    , R     , N     , A     , N     , A     , R     , N     , R     , A     , N     , A     , N     , A     , A     , A     , A
81  , "82                                                              ", 18/04/2005, R    , A    , A    , R    , R    , R    , A    , N    , N    , A     , A     , N     , R     , A     , R     , A     , R     , N     , R     , N     , A     , N     , N     , A     , A
82  , "83                                                              ", 25/04/2005, R    , N    , N    , A    , R    , R    , A    , R    , A    , N     , N     , R     , R     , N     , A     , A     , A     , A     , A     , R     , A     , A     , R     , N     , N
83  , "84                                                              ", 02/05/2005, R    , R    , A    , N    , A    , R    , A    , R    , A    , A     , A     , R     , A     , A     , N     , N     , N     , A     , N     , R     , A     , N     , R     , R     , R
84  , "85                                                              ", 09/05/2005, R    , R    , A    , A    , N    , A    , N    , R    , N    , A     , N     , A     , N     , N     , R     , R     , A     , N     , A     , A     , N     , R     , R     , A     , A
85  , "86                                                              ", 16/05/2005, A    , R    , A    , N    , R    , N    , A    , R    , R    , A     , A     , N     , R     , R     , A     , A     , N     , R     , N     , A     , A     , A     , R     , N     , N
86  , "87                                                              ", 23/05/2005, N    , R    , N    , A    , R    , A    , A    , R    , R    , N     , N     , A     , R     , A     , N     , A     , A     , R     , A     , N     , A     , N     , A     , R     , R
87  , "88                                                              ", 30/05/2005, R    , R    , A    , N    , R    , A    , A    , R    , R    , R     , R     , N     , A     , N     , A     , A     , N     , R     , N     , A     , A     , A     , A     , R     , R
88  , "89                                                              ", 06/06/2005, R    , A    , A    , A    , A    , N    , A    , A    , A    , A     , R     , R     , N     , A     , N     , N     , R     , A     , R     , N     , N     , N     , N     , R     , R
89  , "90                                                              ", 13/06/2005, R    , N    , N    , A    , A    , A    , A    , N    , A    , N     , R     , R     , A     , A     , R     , A     , R     , A     , A     , R     , R     , R     , R     , R     , R
90  , "91                                                              ", 20/06/2005, R    , A    , A    , N    , A    , A    , A    , A    , N    , R     , R     , R     , N     , N     , R     , N     , R     , A     , A     , R     , A     , R     , R     , A     , R
91  , "92                                                              ", 27/06/2005, R    , N    , A    , R    , A    , N    , A    , N    , A    , A     , A     , R     , R     , R     , R     , A     , R     , N     , N     , A     , N     , R     , A     , N     , A
92  , "93                                                              ", 04/07/2005, A    , R    , A    , R    , N    , R    , N    , A    , N    , N     , A     , A     , R     , A     , A     , A     , R     , R     , R     , N     , R     , A     , N     , R     , A
93  , "94                                                              ", 11/07/2005, A    , R    , A    , R    , A    , A    , A    , N    , R    , A     , N     , N     , R     , A     , N     , N     , R     , R     , A     , A     , R     , N     , R     , R     , A
94  , "96                                                              ", 25/07/2005, A    , A    , N    , R    , A    , N    , A    , A    , R    , N     , A     , R     , A     , N     , A     , R     , R     , R     , N     , A     , R     , R     , R     , R     , A
95  , "97                                                              ", 02/08/2005, A    , A    , R    , R    , A    , R    , A    , A    , A    , R     , A     , R     , N     , R     , N     , A     , R     , A     , R     , N     , A     , R     , R     , R     , N
96  , "99                                                              ", 15/08/2005, N    , N    , R    , R    , A    , A    , N    , A    , A    , R     , N     , A     , R     , R     , A     , N     , R     , A     , A     , R     , N     , A     , A     , R     , R
97  , "100                                                             ", 22/08/2005, R    , A    , R    , R    , A    , A    , A    , N    , N    , R     , R     , N     , R     , R     , A     , R     , R     , A     , A     , A     , A     , N     , N     , A     , R
98  , "101                                                             ", 29/08/2005, R    , A    , R    , A    , A    , N    , N    , A    , R    , R     , A     , A     , R     , R     , A     , R     , R     , A     , N     , N     , N     , A     , R     , N     , A
99  , "102                                                             ", 05/09/2005, R    , N    , R    , N    , A    , A    , R    , A    , R    , R     , N     , N     , A     , A     , A     , A     , A     , N     , R     , A     , R     , N     , R     , A     , N
100 , "103                                                             ", 12/09/2005, R    , R    , R    , R    , N    , A    , R    , N    , A    , R     , R     , A     , A     , A     , A     , N     , N     , R     , A     , A     , A     , R     , R     , A     , R
101 , "104                                                             ", 19/09/2005, A    , A    , A    , A    , R    , N    , R    , A    , A    , R     , R     , A     , N     , N     , N     , R     , A     , R     , N     , A     , N     , R     , A     , N     , R
102 , "105                                                             ", 26/09/2005, A    , A    , A    , N    , A    , R    , R    , N    , N    , R     , R     , N     , R     , A     , R     , A     , N     , A     , R     , A     , R     , R     , A     , A     , R
103 , "106                                                             ", 03/10/2005, N    , N    , N    , R    , N    , R    , A    , A    , A    , R     , A     , R     , R     , N     , R     , A     , R     , A     , A     , A     , A     , R     , N     , A     , R
104 , "107                                                             ", 10/10/2005, R    , A    , R    , R    , A    , R    , N    , N    , N    , A     , N     , R     , A     , A     , R     , A     , R     , N     , A     , A     , N     , A     , A     , N     , R
105 , "108                                                             ", 17/10/2005, R    , N    , A    , R    , A    , A    , R    , R    , R    , A     , R     , R     , A     , N     , R     , N     , A     , R     , A     , A     , A     , N     , N     , A     , R
106 , "109                                                             ", 24/10/2005, R    , A    , N    , A    , N    , A    , R    , A    , R    , A     , R     , R     , N     , A     , A     , R     , A     , R     , A     , N     , N     , A     , R     , N     , R
107 , "110                                                             ", 31/10/2005, R    , A    , R    , N    , R    , N    , A    , A    , A    , A     , A     , R     , R     , N     , A     , A     , N     , A     , N     , R     , R     , N     , R     , A     , R
108 , "111                                                             ", 07/11/2005, R    , A    , A    , A    , R    , R    , A    , A    , A    , N     , N     , R     , R     , A     , N     , A     , R     , N     , R     , A     , R     , R     , A     , N     , R
109 , "113                                                             ", 21/11/2005, R    , N    , A    , N    , R    , R    , A    , N    , A    , A     , R     , R     , R     , N     , A     , A     , A     , A     , R     , N     , R     , A     , A     , R     , R
110 , "114                                                             ", 28/11/2005, R    , R    , N    , A    , A    , R    , N    , R    , N    , N     , R     , A     , A     , R     , A     , A     , A     , A     , A     , R     , R     , N     , A     , R     , R
111 , "115                                                             ", 05/12/2005, R    , A    , A    , N    , N    , R    , R    , A    , R    , A     , R     , N     , N     , A     , A     , N     , N     , N     , A     , R     , R     , A     , A     , A     , R
112 , "116                                                             ", 12/12/2005, R    , N    , A    , A    , A    , A    , A    , A    , R    , N     , R     , R     , R     , N     , A     , R     , A     , R     , N     , R     , R     , A     , N     , A     , R
113 , "117                                                             ", 19/12/2005, A    , A    , A    , A    , N    , N    , N    , A    , R    , R     , R     , R     , R     , R     , N     , A     , N     , R     , A     , R     , A     , A     , R     , A     , R
114 , "118                                                             ", 27/12/2005, A    , N    , A    , N    , R    , R    , A    , N    , A    , A     , A     , R     , R     , R     , R     , A     , A     , R     , N     , A     , N     , N     , R     , N     , A
115 , "119                                                             ", 02/01/2006, N    , A    , A    , R    , A    , R    , A    , R    , N    , N     , N     , A     , A     , A     , R     , A     , N     , R     , A     , N     , R     , R     , R     , R     , A
116 , "120                                                             ", 09/01/2006, R    , A    , N    , A    , N    , A    , N    , R    , A    , A     , R     , N     , N     , A     , R     , N     , A     , R     , N     , R     , R     , A     , A     , R     , A
117 , "121                                                             ", 16/01/2006, R    , N    , A    , N    , R    , A    , R    , A    , N    , N     , R     , R     , A     , A     , A     , R     , N     , R     , A     , A     , A     , A     , N     , R     , N
118 , "122                                                             ", 23/01/2006, R    , R    , A    , R    , R    , A    , A    , N    , R    , R     , A     , A     , N     , A     , N     , A     , R     , R     , A     , N     , A     , N     , R     , A     , R
119 , "123                                                             ", 30/01/2006, A    , A    , A    , R    , R    , N    , N    , A    , A    , A     , N     , N     , R     , A     , A     , A     , R     , R     , N     , R     , N     , R     , R     , N     , A
120 , "124                                                             ", 06/02/2006, A    , N    , N    , R    , A    , R    , R    , A    , N    , A     , A     , A     , A     , N     , N     , N     , A     , R     , R     , R     , R     , A     , A     , R     , N
121 , "125                                                             ", 13/02/2006, A    , R    , R    , R    , A    , R    , R    , A    , R    , N     , N     , N     , A     , A     , R     , R     , A     , A     , A     , A     , R     , N     , A     , R     , R
122 , "126                                                             ", 20/02/2006, N    , R    , R    , R    , A    , R    , R    , N    , A    , A     , A     , A     , N     , N     , A     , R     , A     , N     , A     , A     , R     , R     , A     , R     , R
123 , "127                                                             ", 01/03/2006, R    , R    , R    , R    , N    , A    , R    , A    , A    , N     , N     , N     , R     , A     , A     , A     , A     , R     , N     , A     , A     , R     , N     , A     , R
124 , "128                                                             ", 06/03/2006, A    , R    , R    , R    , A    , N    , A    , A    , A    , A     , R     , A     , R     , N     , N     , N     , N     , A     , R     , N     , N     , A     , R     , A     , R
125 , "129                                                             ", 13/03/2006, A    , R    , A    , A    , N    , R    , N    , A    , N    , A     , R     , A     , R     , A     , R     , A     , A     , N     , R     , R     , R     , N     , R     , A     , R
126 , "130                                                             ", 20/03/2006, A    , R    , N    , N    , R    , R    , A    , A    , R    , N     , A     , N     , R     , A     , R     , A     , N     , A     , R     , A     , A     , A     , R     , N     , R
127 , "131                                                             ", 27/03/2006, A    , R    , A    , R    , R    , R    , N    , N    , A    , A     , N     , R     , R     , A     , R     , A     , A     , A     , R     , N     , A     , N     , R     , A     , R
128 , "132                                                             ", 03/04/2006, N    , A    , N    , R    , R    , A    , R    , A    , N    , N     , R     , A     , A     , N     , R     , N     , N     , A     , A     , A     , A     , R     , R     , A     , R
129 , "133                                                             ", 10/04/2006, R    , A    , R    , R    , R    , A    , A    , N    , R    , A     , R     , A     , N     , A     , R     , A     , A     , N     , N     , N     , N     , R     , R     , A     , A
130 , "134                                                             ", 17/04/2006, R    , A    , R    , A    , R    , A    , N    , R    , A    , N     , R     , N     , R     , N     , A     , N     , N     , A     , R     , A     , A     , R     , A     , A     , N
131 , "135                                                             ", 24/04/2006, R    , N    , A    , A    , R    , A    , R    , R    , A    , R     , A     , A     , R     , R     , N     , A     , A     , N     , R     , N     , N     , R     , A     , A     , R
132 , "137                                                             ", 08/05/2006, A    , R    , A    , A    , A    , N    , A    , R    , N    , R     , N     , N     , R     , A     , A     , N     , N     , R     , R     , R     , R     , A     , A     , A     , R
133 , "138                                                             ", 15/05/2006, A    , R    , N    , N    , N    , A    , N    , R    , A    , A     , R     , A     , R     , A     , N     , R     , R     , A     , A     , A     , R     , N     , A     , N     , R
134 , "139                                                             ", 22/05/2006, N    , R    , A    , A    , A    , A    , R    , A    , N    , A     , A     , N     , A     , N     , R     , R     , R     , N     , N     , A     , R     , R     , N     , R     , A
135 , "140                                                             ", 29/05/2006, R    , R    , N    , A    , A    , N    , A    , A    , R    , N     , A     , R     , N     , A     , R     , A     , A     , R     , R     , N     , A     , R     , A     , R     , N
136 , "141                                                             ", 05/06/2006, R    , A    , R    , A    , A    , A    , N    , N    , R    , R     , A     , R     , R     , A     , A     , N     , N     , R     , R     , R     , A     , A     , A     , R     , R
137 , "142                                                             ", 12/06/2006, R    , N    , A    , N    , N    , N    , R    , A    , R    , A     , A     , A     , A     , A     , N     , R     , R     , R     , R     , A     , A     , N     , N     , R     , A
138 , "143                                                             ", 19/06/2006, R    , R    , A    , A    , A    , A    , A    , N    , R    , A     , N     , A     , N     , A     , R     , R     , R     , A     , R     , A     , N     , R     , R     , R     , N
139 , "144                                                             ", 26/06/2006, R    , R    , A    , N    , A    , A    , N    , A    , R    , A     , R     , N     , A     , N     , A     , A     , R     , A     , R     , N     , R     , R     , A     , R     , R
140 , "145                                                             ", 03/07/2006, R    , R    , N    , A    , A    , A    , A    , A    , R    , N     , R     , A     , N     , R     , N     , A     , R     , N     , A     , R     , A     , R     , A     , R     , R
141 , "146                                                             ", 10/07/2006, R    , R    , A    , A    , N    , A    , A    , N    , A    , R     , R     , N     , R     , R     , A     , N     , R     , A     , A     , A     , A     , R     , N     , R     , R
142 , "147                                                             ", 17/07/2006, R    , R    , A    , N    , R    , N    , A    , A    , A    , R     , R     , R     , R     , A     , A     , R     , A     , A     , N     , A     , N     , R     , R     , A     , R
143 , "148                                                             ", 24/07/2006, R    , R    , A    , R    , R    , A    , A    , N    , N    , A     , A     , R     , R     , A     , A     , R     , N     , A     , A     , N     , R     , R     , A     , N     , R
144 , "149                                                             ", 01/08/2006, A    , R    , A    , A    , R    , A    , N    , A    , R    , N     , A     , A     , R     , A     , N     , R     , R     , N     , N     , R     , A     , A     , N     , R     , R
145 , "150                                                             ", 07/08/2006, N    , A    , N    , A    , R    , N    , R    , N    , R    , A     , N     , A     , A     , N     , A     , A     , A     , A     , R     , A     , N     , N     , R     , R     , R
146 , "151                                                             ", 14/08/2006, A    , A    , R    , N    , R    , A    , R    , A    , R    , N     , R     , N     , N     , R     , A     , N     , A     , N     , A     , N     , A     , A     , R     , R     , A
147 , "152                                                             ", 21/08/2006, A    , A    , R    , R    , R    , N    , R    , N    , A    , A     , A     , A     , R     , A     , N     , A     , N     , A     , N     , R     , A     , N     , R     , R     , N
148 , "153                                                             ", 28/08/2006, N    , N    , A    , R    , R    , A    , A    , R    , A    , A     , N     , N     , R     , A     , A     , A     , R     , N     , A     , R     , N     , A     , R     , R     , R
149 , "154                                                             ", 04/09/2006, R    , R    , N    , A    , R    , N    , A    , A    , N    , N     , R     , A     , R     , N     , N     , N     , A     , R     , A     , A     , A     , A     , R     , R     , A
